train_mssg,train_spam
"['hey', 'happened', 'u', 'switch', 'ur', 'cell', 'whole', 'day', 'isnt', 'good', 'u', 'care', 'give', 'call', 'tomorrow']",ham
"['carlos', 'pick', 'swing', 'usf', 'little', 'bit']",ham
"['sir', 'need', 'axis', 'bank', 'account', 'bank', 'address']",ham
"['k', 'k', 'going']",ham
"['slept', 'time']",ham
"['u', 'see', 'posted', 'facebook']",ham
"['sms', 'ac', 'blind', 'date', '4u', 'rodds1', '21', 'aberdeen', 'united', 'kingdom', 'check', 'http', 'img', 'sm', 'ac', 'w', 'icmb3cktz8r7', '4', 'blind', 'dates', 'send', 'hide']",spam
['wish'],ham
"['holy', 'living', 'christ', 'taking', 'long']",ham
"['gain', 'right', 'wife', 'dont', 'demand', 'trying', 'husband', 'lets', 'see']",ham
"['u', 'secret', 'admirer', 'looking', '2', 'make', 'contact', 'u', 'find', 'r', 'reveal', 'think', 'ur', 'special', 'call', '09058094599']",spam
"['much', 'better', 'thanks', 'lol']",ham
"['hope', 'great', 'day']",ham
"['supposed', 'wake', 'gt']",ham
"['cthen', 'thk', 'shd', 'b', 'enuff', 'still', 'got', 'conclusion', 'n', 'content', 'pg', 'n', 'reference', 'b', 'da', 'content', 'pg', 'n', 'cover', 'pg']",ham
"['4', 'let', 'go', 'bill', 'miller']",ham
"['okay', 'lor', 'wah', 'like', 'def', 'wont', 'let', 'u', 'go', 'haha', 'say', 'term', 'condition']",ham
"['people', 'dogging', 'area', 'call', '09090204448', 'join', 'like', 'minded', 'guy', 'arrange', '1', '1', 'evening', '1', '50', 'minapn', 'ls278bb']",spam
"['end', 'might', 'still', 'vomit', 'okay', 'everything', 'come']",ham
"['panasonic', 'bluetoothhdset', 'free', 'nokia', 'free', 'motorola', 'free', 'doublemins', 'doubletxt', 'orange', 'contract', 'call', 'mobileupd8', '08000839402', 'call', '2optout']",spam
"['wish', 'think', 'gonna', 'snow', 'much', 'flurry', 'usually', 'get', 'melt', 'hit', 'ground', 'eek', 'snow', 'since', 'lt', 'gt', 'even', 'born']",ham
"['win', '200', 'shopping', 'spree', 'every', 'week', 'starting', '2', 'play', 'text', 'store', '88039', 'skilgme', 'tscs08714740323', '1winawk', 'age16', '1', '50perweeksub']",spam
"['said', 'anything', 'wrong', 'sorry', 'de']",ham
"['getting', 'threat', 'sale', 'executive', 'shifad', 'raised', 'complaint', 'official', 'message']",ham
"['pls', 'dont', 'forget', 'study']",ham
"['going', 'good', 'problem', 'still', 'need', 'little', 'experience', 'understand', 'american', 'customer', 'voice']",ham
"['good', 'friends', 'care', 'close', 'friends', 'understand', 'true', 'friends', 'stay', 'forever', 'beyond', 'word', 'beyond', 'time', 'gud', 'ni8']",ham
"['yes', 'pretty', 'lady', 'like', 'single']",ham
"['sir', 'waiting', 'letter']",ham
"['nope', 'come', 'online']",ham
"['ok', 'im', 'sure', 'time', 'finish', 'tomorrow', 'wanna', 'spend', 'evening', 'co', 'would', 'vewy', 'vewy', 'lubly', 'love', 'xxx']",ham
"['aiyah', 'wait', 'lor', 'u', 'entertain', 'hee']",ham
"['come', 'u', 'got', 'nothing']",ham
"['dont', 'kick', 'coco']",ham
"['shall', 'get', 'pouch']",ham
"['angry', 'happen', 'dear']",ham
"['wat', 'time', 'liao', 'still', 'got']",ham
"['usually', 'person', 'unconscious', 'child', 'adult', 'may', 'behave', 'abnormally', 'call']",ham
"['already', 'sabarish', 'asked', 'go']",ham
"['sorry', 'free']",ham
"['cant', 'pick', 'phone', 'right', 'pls', 'send', 'message']",ham
"['u', 'gonna', 'get', 'deus', 'ex']",ham
"['double', 'min', 'txts', 'orange', '1', '2', 'price', 'linerental', 'motorola', 'sonyericsson', 'b', 'tooth', 'free', 'nokia', 'free', 'call', 'mobileupd8', '08000839402', 'or2optout', 'hv9d']",spam
"['also', 'track', 'lighter', 'find']",ham
"['want', '750', 'anytime', 'network', 'min', '150', 'text', 'new', 'video', 'phone', 'five', 'pound', 'per', 'week', 'call', '08002888812', 'reply', 'delivery', 'tomorrow']",spam
"['mystery', 'solved', 'opened', 'email', 'sent', 'another', 'batch', 'sweetie']",ham
"['prof', 'passed', 'paper', 'sem', 'congrats', 'student', 'enna', 'kalaachutaarama', 'prof', 'gud', 'mrng']",ham
"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']",ham
"['mobile', 'club', 'choose', 'top', 'quality', 'item', 'mobile', '7cfca1a']",spam
"['ok', 'msg', 'u', 'b4', 'leave', 'house']",ham
"['didnt', 'complete', 'gist', 'oh']",ham
"['gsoh', 'good', 'spam', 'lady', 'u', 'could', 'b', 'male', 'gigolo', '2', 'join', 'uk', 'fastest', 'growing', 'men', 'club', 'reply', 'oncall', 'mjzgroup', '08714342399', '2stop', 'reply', 'stop', 'msg', '1', '50rcvd']",spam
"['ok', 'lor', 'anyway', 'thk', 'cant', 'get', 'ticket', 'co', 'like', 'quite', 'late', 'already', 'u', 'wan', '2', 'go', 'look', '4', 'ur', 'frens', 'darren', 'wif']",ham
"['happen', 'tell', 'truth']",ham
"['u', 'dun', 'say', 'early', 'hor', 'u', 'c', 'already', 'say']",ham
"['ask', 'keep', 'one', 'maybe', 'get', 'message', 'sent', 'glo']",ham
"['tried', 'contact', 'response', 'offer', 'new', 'nokia', 'fone', 'camcorder', 'hit', 'reply', 'call', '08000930705', 'delivery']",spam
"['allo', 'braved', 'bus', 'taken', 'train', 'triumphed', 'mean', 'b', 'ham', 'jolly', 'good', 'rest', 'week']",ham
"['hour', 'went', 'hair', 'cut']",ham
"['sorry', 'delay', 'yes', 'master']",ham
"['supposed', 'meet', 'discus', 'abt', 'trip', 'thought', 'xuhui', 'told', 'afternoon', 'thought', 'go', 'lesson']",ham
['yup'],ham
"['laid', 'airtel', 'line', 'rest']",ham
"['hi', 'ct', 'employee']",ham
"['thanks', 'keep', 'mind']",ham
"['hav', 'almost', 'reached', 'call', 'unable', 'connect', 'u']",ham
"['k', 'make', 'sense', 'btw', 'carlos', 'difficult', 'guy', 'gonna', 'smoke', 'go', 'pick', 'second', 'batch', 'get', 'gas']",ham
"['ok', 'going', 'sleep', 'hope', 'meet']",ham
"['yar', 'quite', 'clever', 'aft', 'many', 'guess', 'lor', 'got', 'ask', '2', 'bring', 'thk', 'darren', 'willing', '2', 'go', 'aiya', 'thk', 'leona', 'still', 'attach', 'wat']",ham
"['got', 'part', 'nottingham', '3', 'hr', '63miles', 'good', 'thing', 'love', 'man', 'much', '40mph', 'hey', 'ho']",ham
"['well', 'give', 'co', 'said', 'one', 'nighters', 'persevered', 'found', 'one', 'cheap', 'apologise', 'advance', 'somewhere', 'sleep', 'isnt']",ham
"['wait', 'cornwall', 'hope', 'tonight', 'bad', 'well', 'rock', 'night', 'shite', 'anyway', 'going', 'kip', 'good', 'night', 'speak', 'soon']",ham
"['purity', 'friendship', 'two', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'name', 'gud', 'evng', 'musthu']",ham
"['sorry', 'battery', 'died', 'yeah']",ham
"['ofcourse', 'also', 'upload', 'song']",ham
"['hi', 'mom', 'might', 'back', 'later', 'lt', 'gt']",ham
"['wont', 'b', '2', '15', 'trying', '2', 'sort', 'house', 'ok']",ham
"['ok', 'enjoy', 'r', 'u', 'home']",ham
"['great', 'run', 'ttyl']",ham
"['way', 'send', 'shade', 'stuff', 'wonderful']",ham
"['hoping', 'enjoyed', 'game', 'yesterday', 'sorry', 'touch', 'pls', 'know', 'fondly', 'bein', 'thot', 'great', 'week', 'abiola']",ham
"['kothi', 'print', 'marandratha']",ham
"['spoke', 'uncle', 'john', 'today', 'strongly', 'feel', 'need', 'sacrifice', 'keep', 'going', 'call', 'beg', 'listen', 'dont', 'make', 'promise', 'make', 'clear', 'thing', 'easy', 'need', 'please', 'let', 'u', 'work', 'thing', 'long', 'keep', 'expecting', 'help', 'creativity', 'stifled', 'pls', 'keep', 'happy', 'promise', 'part']",ham
"['said', 'would', 'woke']",ham
"['good', 'evening', 'ttyl']",ham
"['yetunde', 'class', 'run', 'water', 'make', 'ok', 'pls']",ham
"['bored', 'speed', 'dating', 'try', 'speedchat', 'txt', 'speedchat', '80155', 'like', 'em', 'txt', 'swap', 'get', 'new', 'chatter', 'chat80155', 'pobox36504w45wq', '150p', 'msg', 'rcd', '16']",spam
"['thinking', 'going', 'reg', 'pract', 'lesson', 'flung', 'advance', 'haha', 'wat', 'time', 'u', 'going']",ham
"['pen', 'thing', 'beyond', 'joke', 'wont', 'biro', 'master', 'ever']",ham
"['onum', 'ela', 'pa', 'normal']",ham
"['dorothy', 'kiefer', 'com', 'bank', 'granite', 'issue', 'strong', 'buy', 'explosive', 'pick', 'members', '300', 'nasdaq', 'symbol', 'cdgt', '5', '00', 'per']",spam
"['good', 'afternoon', 'love', 'good', 'see', 'word', 'ym', 'get', 'tm', 'smart', 'move', 'slave', 'smile', 'drink', 'coffee', 'await']",ham
"['gr8', 'poly', 'tone', '4', 'mob', 'direct', '2u', 'rply', 'poly', 'title', '8007', 'eg', 'poly', 'breathe1', 'titles', 'crazyin', 'sleepingwith', 'finest', 'ymca', 'getzed', 'co', 'uk', 'pobox365o4w45wq', '300p']",spam
"['sitting', 'ard', 'nothing', 'lor', 'u', 'leh', 'busy', 'w', 'work']",ham
"['alright', 'head', 'minute', 'text', 'meet']",ham
"['please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am', '9pm', 'guaranteed', '1000', 'cash', '5000', 'prize']",spam
"['dont', 'know', 'oh']",ham
"['private', '2003', 'account', 'statement', '07973788240', 'show', '800', 'un', 'redeemed', 'point', 'call', '08715203649', 'identifier', 'code', '40533', 'expires', '31', '10', '04']",spam
"['plz', 'note', 'anyone', 'calling', 'mobile', 'co', 'amp', 'asks', 'u', 'type', 'lt', 'gt', 'lt', 'gt', 'disconnect', 'call', 'coz', 'iz', 'attempt', 'terrorist', 'make', 'use', 'sim', 'card', 'itz', 'confirmd', 'nokia', 'n', 'motorola', 'n', 'verified', 'cnn', 'ibn']",ham
"['ah', 'poop', 'looks', 'like', 'ill', 'prob', 'send', 'laptop', 'get', 'fixed', 'cuz', 'gpu', 'problem']",ham
"['networking', 'technical', 'support', 'associate']",ham
"['never', 'nothing']",ham
"['probably', 'still', 'going', 'stuff']",ham
"['dad', 'wanted', 'talk', 'apartment', 'got', 'late', 'start', 'omw']",ham
"['daily', 'text', 'favour', 'time']",ham
"['wat', 'late', 'still', 'early', 'mah', 'juz', 'go', '4', 'dinner', 'lor', 'aiya', 'dunno']",ham
"['significant', 'dont', 'worry']",ham
"['entered', 'cabin', 'pa', 'said', 'happy', 'b', 'day', 'boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",ham
"['like', 'talk', 'pa', 'able', 'dont', 'know']",ham
"['good', 'morning', 'plz', 'call', 'sir']",ham
"['pick', 'drop', 'car', 'problem']",ham
"['ooh', '4got', 'gonna', 'start', 'belly', 'dancing', 'moseley', 'wed', '6', '30', 'u', 'want', '2', 'join', 'cafe']",ham
"['sell', 'ton', 'coin', 'sell', 'coin', 'someone', 'thru', 'paypal', 'voila', 'money', 'back', 'life', 'pocket']",ham
"['ups', '3days', 'also', 'shipping', 'company', 'take', '2wks', 'way', 'usps', 'take', 'week', 'get', 'lag', 'may', 'bribe', 'nipost', 'get', 'stuff']",ham
"['single', 'line', 'big', 'meaning', 'miss', 'anything', '4', 'ur', 'best', 'life', 'miss', 'ur', 'best', 'life', 'anything', 'gud', 'nyt']",ham
['home'],ham
"['sday', 'joined', 'training', 'started', 'today']",ham
"['xy', 'ur', 'car', 'u', 'picking']",ham
"['sister', 'going', 'earn', 'da']",ham
"['otherwise', 'part', 'time', 'job', 'na', 'tuition']",ham
"['staff', 'placement', 'training', 'amrita', 'college']",ham
"['ujhhhhhhh', 'computer', 'shipped', 'address', 'sandiago', 'parantella', 'lane', 'wtf', 'poop']",ham
"['izzit', 'still', 'raining']",ham
"['someone', 'smoke', 'every', 'time', 'smoked', 'last', 'two', 'week', 'calling', 'texting', 'wanted', 'smoke']",ham
"['aslamalaikkum', 'insha', 'allah', 'tohar', 'beeen', 'muht', 'albi', 'mufti', 'mahfuuz', 'meaning']",ham
"['miss', 'vday', 'parachute', 'double', 'coin', 'u', 'must', 'know', 'well']",ham
"['drug', 'able', 'eat']",ham
"['heard', 'job', 'going', 'wildlife', 'talk', 'tonight', 'u', 'want2come', 'that2worzels', 'wizzle', 'whatever']",ham
"['sorry', 'call', 'later']",ham
"['alright', 'see', 'bit']",ham
"['shoot', 'doc', 'waiting', 'room']",ham
"['sms', 'services', 'inclusive', 'text', 'credit', 'pls', 'goto', 'www', 'comuk', 'net', 'login', 'unsubscribe', 'stop', 'extra', 'charge', 'help', '08700469649', 'po', 'box420', 'ip4', '5we']",spam
"['haha', 'awesome', 'minute']",ham
"['know', 'need', 'get', 'hotel', 'got', 'invitation', 'apologise', 'cali', 'sweet', 'come', 'english', 'bloke', 'weddin']",ham
"['dunno', 'wat', 'get', '4']",ham
"['bus', 'love']",ham
"['problem', 'talk', 'later']",ham
"['got', 'tea', 'sure', 'flavour']",ham
"['hope', 'good', 'week', 'checking']",ham
"['ok', 'come', 'home', 'vl', 'nice', 'meet', 'v', 'chat']",ham
"['ditto', 'worry', 'saying', 'anything', 'anymore', 'like', 'said', 'last', 'night', 'whatever', 'want', 'peace']",ham
"['okie', 'thanx']",ham
"['dun', 'wear', 'jean', 'lor']",ham
"['ok', 'prob', 'take', 'ur', 'time']",ham
"['gud', 'ni8', 'dear', 'slp', 'well', 'take', 'care', 'swt', 'dream', 'muah']",ham
"['hey', 'come', 'online', 'use', 'msn']",ham
"['cant', 'u', 'try', 'new', 'invention', 'fly', 'joking']",ham
"['waiting', 'call']",ham
"['day', 'working', 'day', 'except', 'saturday', 'sunday']",ham
"['ok', 'u', 'take', 'shopping', 'u', 'get', 'paid']",ham
"['sorry', 'call', 'later', 'meeting']",ham
"['nice', 'wait', 'texting', 'right', 'gonna', 'pay', 'ticket', 'ya', 'know']",ham
"['famous', 'quote', 'develop', 'ability', 'listen', 'anything', 'unconditionally', 'without', 'losing', 'temper', 'self', 'confidence', 'mean', 'married']",ham
"['nothing', 'lor', 'bit', 'bored', 'dun', 'u', 'go', 'home', 'early', '2', 'sleep', 'today']",ham
"['finished', 'class']",ham
"['yes', 'last', 'week', 'taking', 'live', 'call']",ham
"['world', 'suffers', 'lot', 'violence', 'bad', 'people', 'silence', 'good', 'people', 'gud', 'night']",ham
"['thanx', '4', 'sending', 'home']",ham
"['yeah', 'work', 'fine', 'started', 'last', 'week', 'stuff', 'dull', 'easy', 'guy', 'fun']",ham
"['ü', 'wait', '4', 'sch', 'finish', 'ard', '5']",ham
"['dont', 'gimme', 'lip', 'caveboy']",ham
"['faith', 'make', 'thing', 'possible', 'hope', 'make', 'thing', 'work', 'love', 'make', 'thing', 'beautiful', 'may', 'three', 'christmas', 'merry', 'christmas']",ham
"['k', 'eng', 'rocking', 'ash']",ham
"['know', 'u', 'u', 'know', 'send', 'chat', '86688', 'let', 'find', '150p', 'msg', 'rcvd', 'hg', 'suite342', '2lands', 'row', 'w1j6hl', 'ldn', '18', 'year']",spam
"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'am', 'xx']",ham
"['indians', 'r', 'poor', 'india', 'poor', 'country', 'says', 'one', 'swiss', 'bank', 'director', 'say', 'lt', 'gt', 'lac', 'crore', 'indian', 'money', 'deposited', 'swiss', 'bank', 'used', 'taxless', 'budget', 'lt', 'gt', 'yr', 'give', 'lt', 'gt', 'crore', 'job', 'indians', 'village', 'delhi', '4', 'lane', 'road', 'forever', 'free', 'power', 'suply', 'lt', 'gt', 'social', 'project', 'every', 'citizen', 'get', 'monthly', 'lt', 'gt', 'lt', 'gt', 'yr', 'need', 'world', 'bank', 'amp', 'imf', 'loan', 'think', 'money', 'blocked', 'rich', 'politician', 'full', 'right', 'corrupt', 'politician', 'itna', 'forward', 'karo', 'ki', 'pura', 'india', 'padhe', 'g']",ham
['nothing'],ham
"['oh', 'thkin', 'goin', 'yogasana', '10', 'den', 'nd', 'go', '3', 'den', 'rush', 'parco', '4', 'nb', 'okie', 'lor', 'u', 'call', 'ready']",ham
"['got', 'arrested', 'possession', 'shit', 'lt', 'time', 'gt', 'pm']",ham
"['k', '4']",ham
"['know', 'lab', 'goggles', 'went']",ham
"['cheers', 'callin', 'babe', 'sozi', 'culdnt', 'talkbut', 'wannatell', 'u', 'details', 'later', 'wenwecan', 'chat', 'properly', 'x']",ham
"['hi', 'mandy', 'sullivan', 'calling', 'hotmix', 'fm', 'chosen', 'receive', '5000', '00', 'easter', 'prize', 'draw', 'please', 'telephone', '09041940223', 'claim', '29', '03', '05', 'prize', 'transferred', 'someone', 'else']",spam
"['convey', 'regard']",ham
"['prabha', 'soryda', 'realy', 'frm', 'heart', 'sory']",ham
"['nah', 'man', 'car', 'meant', 'crammed', 'full', 'people']",ham
"['got', 'video', 'tape', 'pple', 'type', 'message', 'lor', 'u', 'free', 'wan', '2', 'help', 'hee', 'cos', 'noe', 'u', 'wan', '2', 'watch', 'infernal', 'affair', 'ask', 'u', 'along', 'asking', 'shuhui', 'oso']",ham
"['u', 'call', 'alter', '11', 'ok']",ham
"['latest', 'news', 'police', 'station', 'toilet', 'stolen', 'cop', 'nothing', 'go']",spam
"['hiya', 'sorry', 'hav', 'signal', 'seen', 'heard', 'neither', 'unusual', 'put', 'case', 'get', 'sort', 'hugs', 'snogs']",ham
"['frnd', 'necesity', 'life', 'imagine', 'urself', 'witout', 'frnd', 'hw', 'u', 'feel', 'ur', 'colleg', 'wat', 'u', 'wth', 'ur', 'cell', 'wat', 'abt', 'function', 'thnk', 'abt', 'event', 'espe', 'cared', 'missed', 'amp', 'irritated', 'u', '4wrd', 'dear', 'loving', 'frnds', 'wthout', 'u', 'cant', 'live', 'jst', 'takecare', 'goodmorning']",ham
"['know', 'someone', 'know', 'fancy', 'call', '09058097218', 'find', 'pobox', '6', 'ls15hb', '150p']",spam
"['spoons', 'okay']",ham
"['sorry', 'call', 'later']",ham
"['oh', 'god', 'happy', 'see', 'message', '3', 'day']",ham
"['mm', 'time', 'dont', 'like', 'fun']",ham
"['watch', 'lor', 'saw', 'swatch', 'one', 'thk', 'quite', 'ok', 'ard', '116', 'need', '2nd', 'opinion', 'leh']",ham
"['hows', 'street', 'end', 'library', 'walk']",ham
"['hello', 'saturday', 'go', 'texting', 'see', 'decided', 'anything', 'tomo', 'trying', 'invite', 'anything']",ham
"['really', 'need', '2', 'kiss', 'u', 'miss', 'u', 'baby', 'ur', 'baby', '4eva']",ham
"['free', '1st', 'week', 'no1', 'nokia', 'tone', '4', 'ur', 'mob', 'every', 'week', 'txt', 'nokia', '8007', 'get', 'txting', 'tell', 'ur', 'mate', 'www', 'getzed', 'co', 'uk', 'pobox', '36504', 'w45wq', 'norm150p', 'tone', '16']",spam
"['arun', 'u', 'transfr', 'amt']",ham
"['much', 'getting']",ham
"['genius', 'brother', 'pls', 'send', 'number', 'skype']",ham
"['today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'send', 'ur', 'valuable', 'frnds', 'first', 'rply']",ham
"['free', 'top', 'ringtone', 'sub', 'weekly', 'ringtone', 'get', '1st', 'week', 'free', 'send', 'subpoly', '81618', '3', 'per', 'week', 'stop', 'sm', '08718727870']",spam
"['hey', 'iouri', 'gave', 'number', 'wylie', 'ryan', 'friend']",ham
"['happy', 'new', 'year', 'u']",ham
"['shopping', 'eh', 'ger', 'toking', 'abt', 'syd', 'leh', 'haha']",ham
"['happened', 'interview']",ham
"['oh', 'k', 'k', 'big', 'hitter', 'anyway', 'good']",ham
"['gam', 'gone', 'outstanding', 'inning']",ham
"['ur', 'chance', 'win', '250', 'cash', 'every', 'wk', 'txt', 'play', '83370', 'c', 'www', 'music', 'trivia', 'net', 'custcare', '08715705022', '1x150p', 'wk']",spam
"['gonna', 'let', 'know', 'co', 'come', 'bak', 'holiday', 'day', 'coming', 't4get2text', 'number']",ham
['ok'],ham
"['sorry', 'call', 'later', 'meeting']",ham
"['sent', 'like']",ham
"['sorry', 'da', 'gone', 'mad', 'many', 'pending', 'work']",ham
"['free', 'entry', '250', 'weekly', 'comp', 'send', 'word', 'enter', '84128', '18', 'c', 'www', 'textcomp', 'com', 'cust', 'care', '08712405020']",spam
"['yeah', 'barely', 'enough', 'room', 'two', 'u', 'x', 'many', 'fucking', 'shoe', 'sorry', 'man', 'see', 'later']",ham
"['one', 'slice', 'one', 'breadstick', 'lol']",ham
"['hello', 'orange', '1', 'month', 'free', 'access', 'game', 'news', 'sport', 'plus', '10', 'free', 'text', '20', 'photo', 'message', 'reply', 'yes', 'terms', 'apply', 'www', 'orange', 'co', 'uk', 'ow']",spam
['number'],ham
"['alright', 'thanks', 'advice', 'enjoy', 'night', 'try', 'get', 'sleep']",ham
"['tirupur', 'call', 'da']",ham
"['solve', 'case', 'man', 'found', 'murdered', 'lt', 'decimal', 'gt', 'lt', 'gt', 'afternoon', '1', 'wife', 'called', 'police', '2', 'police', 'questioned', 'everyone', '3', 'wife', 'sir', 'sleeping', 'murder', 'took', 'place', '4', 'cook', 'cooking', '5', 'gardener', 'picking', 'vegetable', '6', 'house', 'maid', 'went', '2', 'post', 'office', '7', 'children', 'went', '2', 'play', '8', 'neighbour', 'went', '2', 'marriage', 'police', 'arrested', 'murderer', 'immediately', 'reply', 'reason', 'u', 'r', 'brilliant']",ham
"['oooh', 'bed', 'ridden', 'ey', 'thinking']",ham
"['free', 'video', 'camera', 'phone', 'half', 'price', 'line', 'rental', '12', 'mths', '500', 'cross', 'ntwk', 'min', '100', 'txts', 'call', 'mobileupd8', '08001950382', 'call2optout', '674']",spam
"['ducking', 'chinchilla']",ham
"['claim', '200', 'shopping', 'spree', 'call', '08717895698', 'mobstorequiz10ppm']",spam
"['sorry', 'trouble', 'u', 'buy', '4d', 'dad', '1405', '1680', '1843', '2', 'big', '1', 'small', 'sat', 'n', 'sun', 'thanx']",ham
"['remember', 'day']",ham
"['oh', 'fuck', 'juswoke', 'bed', 'boatin', 'docks', 'slept', 'wid', '25', 'year', 'old', 'spinout', 'giv', 'u', 'da', 'gossip', 'l8r', 'xxx']",ham
"['specially', 'selected', 'receive', '3000', 'award', 'call', '08712402050', 'line', 'close', 'cost', '10ppm', '16', 'cs', 'apply', 'ag', 'promo']",spam
"['yes', 'watching', 'footie', 'worried', 'going', 'blow', 'phil', 'neville']",ham
"['purity', 'friendship', 'two', 'smiling', 'reading', 'forwarded', 'message', 'smiling', 'seeing', 'name', 'gud', 'evng', 'musthu']",ham
"['get', 'ten', 'billion', 'call', 'text', 'help', 'god']",ham
"['hey', 'boys', 'want', 'hot', 'xxx', 'pic', 'sent', 'direct', '2', 'ur', 'phone', 'txt', 'porn', '69855', '24hrs', 'free', '50p', 'per', 'day', 'stop', 'text', 'stopbcm', 'sf', 'wc1n3xx']",spam
"['asked', '3mobile', '0870', 'chatlines', 'inclu', 'free', 'mins', 'india', 'cust', 'servs', 'sed', 'yes', 'l8er', 'got', 'mega', 'bill', '3', 'dont', 'giv', 'shit', 'bailiff', 'due', 'days', '250', '3', 'want', '800']",spam
"['going', 'got', 'exciting', 'karaoke', 'type', 'activity', 'planned', 'debating', 'whether', 'play', 'football', 'eve', 'feeling', 'lazy', 'though']",ham
"['k', 'give', 'back', 'thanks']",ham
"['download', 'many', 'ringtones', 'u', 'like', 'restriction', '1000', '2', 'choose', 'u', 'even', 'send', '2', 'yr', 'buddy', 'txt', 'sir', '80082', '3']",spam
"['ok', 'asked', 'money', 'far']",ham
"['mum', 'ask', 'ü', 'buy', 'food', 'home']",ham
"['camera', 'quite', 'good', '10', '1mega', 'pixel', '3optical', '5digital', 'doom', 'lovely', 'holiday', 'safe', 'hope', 'hav', 'good', 'journey', 'happy', 'new', 'year', 'see', 'couple', 'week']",ham
"['hi', 'happy', 'new', 'year', 'dont', 'mean', 'intrude', 'pls', 'let', 'know', 'much', 'tuition', 'paid', 'last', 'semester', 'much', 'semester', 'thanks']",ham
"['msgs', 'r', 'time', 'pas', 'silently', 'say', 'thinking', 'u', 'right', 'also', 'making', 'u', 'think', 'least', '4', 'moment', 'gd', 'nt', 'swt', 'drms', 'shesil']",ham
"['anyways', 'go', 'gym', 'whatever', 'love', 'smile', 'hope', 'ok', 'good', 'day', 'babe', 'miss', 'much', 'already']",ham
"['love', 'brother', 'time', 'talk', 'english', 'grin', 'say', 'hey', 'muhommad', 'penny', 'say', 'hello', 'across', 'sea']",ham
